geometry,rt60,snr_db,diffuse,true_az_deg,true_el_deg,est_az_deg,est_el_deg,az_error_deg,el_error_deg,total_error_deg,seed
UCA,0.0,10.0,False,300.0,30.0,300.0,30.0,0.0,0.0,0.0,1
UCA,0.0,10.0,False,310.0,30.0,310.0,30.0,0.0,0.0,0.0,0
UCA,0.0,10.0,False,310.0,30.0,310.0,30.0,0.0,0.0,0.0,1
UCA,0.0,10.0,False,320.0,30.0,320.0,-30.0,0.0,60.0,60.0,0
UCA,0.0,10.0,False,320.0,30.0,320.0,-30.0,0.0,60.0,60.0,1
UCA,0.0,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,0
UCA,0.0,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,1
UCA,0.0,10.0,False,340.0,30.0,340.0,30.0,0.0,0.0,0.0,0
UCA,0.0,10.0,False,340.0,30.0,340.0,30.0,0.0,0.0,0.0,1
UCA,0.0,10.0,False,350.0,30.0,350.0,30.0,0.0,0.0,0.0,0
UCA,0.0,10.0,False,350.0,30.0,350.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,0.0,30.0,0.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,0.0,30.0,0.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,20.0,30.0,20.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,20.0,30.0,20.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,30.0,30.0,30.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,40.0,30.0,40.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,40.0,30.0,40.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,50.0,30.0,50.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,50.0,30.0,50.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,70.0,30.0,70.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,70.0,30.0,70.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,80.0,30.0,80.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,80.0,30.0,80.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,90.0,30.0,90.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,90.0,30.0,90.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,100.0,30.0,100.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,100.0,30.0,100.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,110.0,30.0,110.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,110.0,30.0,110.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,130.0,30.0,130.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,130.0,30.0,130.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,140.0,30.0,140.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,140.0,30.0,140.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,150.0,30.0,150.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,150.0,30.0,150.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,160.0,30.0,160.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,160.0,30.0,160.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,180.0,30.0,180.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,180.0,30.0,180.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,190.0,30.0,190.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,190.0,30.0,190.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,200.0,30.0,200.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,200.0,30.0,200.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,210.0,30.0,210.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,210.0,30.0,210.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,220.0,30.0,220.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,220.0,30.0,220.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,230.0,30.0,230.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,230.0,30.0,230.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,240.0,30.0,240.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,240.0,30.0,240.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,250.0,30.0,250.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,250.0,30.0,250.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,260.0,30.0,260.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,260.0,30.0,260.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,270.0,30.0,270.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,270.0,30.0,270.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,280.0,30.0,280.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,280.0,30.0,280.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,290.0,30.0,290.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,290.0,30.0,290.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,300.0,30.0,300.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,300.0,30.0,300.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,310.0,30.0,310.0,30.0,0.0,0.0,0.0,0
UCA,0.5,10.0,False,310.0,30.0,310.0,30.0,0.0,0.0,0.0,1
UCA,0.5,10.0,False,320.0,30.0,320.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,320.0,30.0,320.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,340.0,30.0,340.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,340.0,30.0,340.0,-30.0,0.0,60.0,60.0,1
UCA,0.5,10.0,False,350.0,30.0,350.0,-30.0,0.0,60.0,60.0,0
UCA,0.5,10.0,False,350.0,30.0,350.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,0.0,30.0,0.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,0.0,30.0,0.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,20.0,30.0,20.0,-40.0,0.0,70.0,70.0,0
UCA,0.8,10.0,False,20.0,30.0,20.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,30.0,30.0,30.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,40.0,30.0,40.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,40.0,30.0,40.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,50.0,30.0,50.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,50.0,30.0,50.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,70.0,30.0,70.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,70.0,30.0,70.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,80.0,30.0,80.0,-40.0,0.0,70.0,70.0,0
UCA,0.8,10.0,False,80.0,30.0,80.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,90.0,30.0,90.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,90.0,30.0,90.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,100.0,30.0,100.0,-40.0,0.0,70.0,70.0,0
UCA,0.8,10.0,False,100.0,30.0,100.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,110.0,30.0,110.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,110.0,30.0,110.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,130.0,30.0,130.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,130.0,30.0,130.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,140.0,30.0,140.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,140.0,30.0,140.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,150.0,30.0,150.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,150.0,30.0,150.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,160.0,30.0,160.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,160.0,30.0,160.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,180.0,30.0,180.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,180.0,30.0,180.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,190.0,30.0,190.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,190.0,30.0,190.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,200.0,30.0,200.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,200.0,30.0,200.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,210.0,30.0,210.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,210.0,30.0,210.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,220.0,30.0,220.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,220.0,30.0,220.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,230.0,30.0,230.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,230.0,30.0,230.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,240.0,30.0,240.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,240.0,30.0,240.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,250.0,30.0,250.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,250.0,30.0,250.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,260.0,30.0,260.0,-40.0,0.0,70.0,70.0,0
UCA,0.8,10.0,False,260.0,30.0,260.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,270.0,30.0,270.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,270.0,30.0,270.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,280.0,30.0,280.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,280.0,30.0,280.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,290.0,30.0,290.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,290.0,30.0,290.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,300.0,30.0,300.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,300.0,30.0,300.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,310.0,30.0,310.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,310.0,30.0,310.0,30.0,0.0,0.0,0.0,1
UCA,0.8,10.0,False,320.0,30.0,320.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,320.0,30.0,320.0,40.0,0.0,10.0,10.0,1
UCA,0.8,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,0
UCA,0.8,10.0,False,330.0,30.0,330.0,-30.0,0.0,60.0,60.0,1
UCA,0.8,10.0,False,340.0,30.0,340.0,40.0,0.0,10.0,10.0,0
UCA,0.8,10.0,False,340.0,30.0,340.0,-40.0,0.0,70.0,70.0,1
UCA,0.8,10.0,False,350.0,30.0,350.0,30.0,0.0,0.0,0.0,0
UCA,0.8,10.0,False,350.0,30.0,350.0,30.0,0.0,0.0,0.0,1
UCA,1.0,10.0,False,0.0,30.0,0.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,0.0,30.0,0.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,0
UCA,1.0,10.0,False,10.0,30.0,10.0,30.0,0.0,0.0,0.0,1
UCA,1.0,10.0,False,20.0,30.0,20.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,20.0,30.0,20.0,-40.0,0.0,70.0,70.0,1
UCA,1.0,10.0,False,30.0,30.0,30.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,30.0,30.0,30.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,40.0,30.0,40.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,40.0,30.0,40.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,50.0,30.0,50.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,50.0,30.0,50.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,0
UCA,1.0,10.0,False,60.0,30.0,60.0,-30.0,0.0,60.0,60.0,1
UCA,1.0,10.0,False,70.0,30.0,70.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,70.0,30.0,70.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,80.0,30.0,80.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,80.0,30.0,80.0,-40.0,0.0,70.0,70.0,1
UCA,1.0,10.0,False,90.0,30.0,90.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,90.0,30.0,90.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,100.0,30.0,100.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,100.0,30.0,100.0,-40.0,0.0,70.0,70.0,1
UCA,1.0,10.0,False,110.0,30.0,110.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,110.0,30.0,110.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,0
UCA,1.0,10.0,False,120.0,30.0,120.0,30.0,0.0,0.0,0.0,1
UCA,1.0,10.0,False,130.0,30.0,130.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,130.0,30.0,130.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,140.0,30.0,140.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,140.0,30.0,140.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,150.0,30.0,150.0,-40.0,0.0,70.0,70.0,0
UCA,1.0,10.0,False,150.0,30.0,150.0,-40.0,0.0,70.0,70.0,1
UCA,1.0,10.0,False,160.0,30.0,160.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,160.0,30.0,160.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,0
UCA,1.0,10.0,False,170.0,30.0,170.0,30.0,0.0,0.0,0.0,1
UCA,1.0,10.0,False,180.0,30.0,180.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,180.0,30.0,180.0,40.0,0.0,10.0,10.0,1
UCA,1.0,10.0,False,190.0,30.0,190.0,30.0,0.0,0.0,0.0,0
UCA,1.0,10.0,False,190.0,30.0,190.0,-30.0,0.0,60.0,60.0,1
UCA,1.0,10.0,False,200.0,30.0,200.0,40.0,0.0,10.0,10.0,0
UCA,1.0,10.0,False,200.0,30.0,200.0,40.0,0.0,10.0,10.0,1
