geometry,rt60,drone_spl_db,diffuse,true_az_deg,true_el_deg,est_az_deg,est_el_deg,az_error_deg,el_error_deg,total_error_deg,seed
UCA,0.7300441312558278,78.0,False,60.0,50.0,65.0,50.0,5.0,0.0,3.2133,0
UCA,0.7300441312558278,80.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
UCA,0.7300441312558278,70.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
UCA,0.7300441312558278,70.0,True,0.0,30.0,160.0,30.0,160.0,0.0,117.0501,0
UCA,0.7300441312558278,70.0,True,60.0,30.0,160.0,30.0,100.0,0.0,83.1215,0
UCA,0.7300441312558278,70.0,True,90.0,30.0,160.0,30.0,70.0,0.0,59.568,0
UCA,0.7300441312558278,70.0,True,180.0,30.0,160.0,30.0,20.0,0.0,17.2983,0
UCA,0.7300441312558278,70.0,True,270.0,30.0,160.0,30.0,110.0,0.0,90.3733,0
CROSS,0.7300441312558278,78.0,False,60.0,20.0,295.0,10.0,125.0,10.0,118.1256,0
CROSS,0.7300441312558278,78.0,False,60.0,50.0,290.0,40.0,130.0,10.0,79.8694,0
CROSS,0.7300441312558278,80.0,False,60.0,30.0,295.0,20.0,125.0,10.0,107.2034,0
CROSS,0.7300441312558278,70.0,False,60.0,30.0,295.0,20.0,125.0,10.0,107.2034,0
CROSS,0.7300441312558278,70.0,True,0.0,30.0,135.0,0.0,135.0,30.0,127.7612,0
CROSS,0.7300441312558278,70.0,True,60.0,30.0,135.0,0.0,75.0,30.0,77.0475,0
CROSS,0.7300441312558278,70.0,True,90.0,30.0,135.0,0.0,45.0,30.0,52.2388,0
CROSS,0.7300441312558278,70.0,True,180.0,30.0,135.0,0.0,45.0,30.0,52.2388,0
CROSS,0.7300441312558278,70.0,True,270.0,30.0,135.0,0.0,135.0,30.0,127.7612,0
ULA,0.7300441312558278,78.0,False,60.0,20.0,305.0,50.0,115.0,30.0,89.6143,0
ULA,0.7300441312558278,78.0,False,60.0,50.0,305.0,60.0,115.0,10.0,58.1574,0
ULA,0.7300441312558278,80.0,False,60.0,30.0,65.0,-20.0,5.0,50.0,50.2312,0
ULA,0.7300441312558278,70.0,False,60.0,30.0,65.0,-20.0,5.0,50.0,50.2312,0
ULA,0.7300441312558278,70.0,True,0.0,30.0,135.0,-40.0,135.0,70.0,142.2321,0
ULA,0.7300441312558278,70.0,True,60.0,30.0,210.0,-50.0,150.0,80.0,149.8956,0
ULA,0.7300441312558278,70.0,True,90.0,30.0,135.0,40.0,45.0,10.0,37.7679,0
ULA,0.7300441312558278,70.0,True,180.0,30.0,235.0,0.0,55.0,30.0,60.216,0
ULA,0.7300441312558278,70.0,True,270.0,30.0,135.0,-40.0,135.0,70.0,142.2321,0
CYLINDER,0.7300441312558278,78.0,False,60.0,20.0,65.0,20.0,5.0,0.0,4.6983,0
CYLINDER,0.7300441312558278,78.0,False,60.0,50.0,65.0,50.0,5.0,0.0,3.2133,0
CYLINDER,0.7300441312558278,80.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.7300441312558278,70.0,False,60.0,30.0,60.0,30.0,0.0,0.0,0.0,0
CYLINDER,0.7300441312558278,70.0,True,0.0,30.0,165.0,10.0,165.0,20.0,137.4751,0
CYLINDER,0.7300441312558278,70.0,True,60.0,30.0,165.0,10.0,105.0,20.0,97.6959,0
CYLINDER,0.7300441312558278,70.0,True,90.0,30.0,165.0,10.0,75.0,20.0,72.0876,0
CYLINDER,0.7300441312558278,70.0,True,180.0,30.0,165.0,10.0,15.0,20.0,24.4072,0
CYLINDER,0.7300441312558278,70.0,True,270.0,30.0,165.0,10.0,105.0,20.0,97.6959,0
